T,MU_PARAM_C1,MU_PARAM_C2,MU_PARAM_C3,MU_PARAM_OBJ,MU_PARAM_I1,MU_PARAM_I2,MU_PARAM_I3,MU_PARAM_P1,MU_PARAM_P2
0.00186837,2.00729,4.01456,0.856224,12.2111,3.10925,4.50708,1.27001,2.73881,5.78898
3.03218,2.00267,4.00613,0.853226,12.1854,3.09883,4.5566,1.31485,3.01661,5.13062
6.05865,2.00721,3.99187,0.858371,12.2611,3.20287,5.10663,1.46481,2.81589,5.75626
9.08502,2.00291,3.98758,0.856901,12.2923,3.09222,4.93703,1.51299,3.25155,5.48439
12.1113,2.00391,4.01227,0.853488,12.2911,3.18284,5.28071,1.59015,3.11479,4.69313
15.1377,2.00628,3.9966,0.855286,12.205,3.08729,4.67275,1.36659,3.45438,5.62179
18.1641,2.00401,3.99877,0.857871,12.308,3.19077,4.98998,1.74978,3.06971,5.62703
21.1903,2.00314,4.00391,0.852416,12.1788,3.12282,5.20304,1.63681,2.61615,5.01434
24.2168,2.00506,3.98995,0.859467,12.2697,3.17991,4.80628,1.53449,3.38223,5.07473
27.2432,2.00287,3.98924,0.855526,12.2304,3.21881,5.15099,1.7243,3.0006,4.8335
30.2694,2.0037,3.99971,0.85065,12.308,3.2022,4.61347,1.71797,3.45077,5.66318
33.296,2.00623,4.00907,0.860831,12.2517,3.09674,4.84935,1.64455,2.91607,5.50075
36.3222,2.00479,4.0098,0.856371,12.2455,3.14054,5.19545,1.7498,2.74055,5.46071
39.3485,2.00528,4.00161,0.859345,12.2432,3.1447,4.61824,1.65081,2.51292,5.81285
42.3748,2.00448,4.00991,0.852257,12.2452,3.1235,4.95093,1.6321,3.18519,5.79519
45.4013,2.00643,4.00521,0.855735,12.2133,3.1967,4.87768,1.43997,2.81001,5.08813
48.4277,2.00397,4.01148,0.860077,12.2627,3.10736,5.45725,1.72285,3.03535,4.8557
51.4539,2.00617,3.99644,0.850005,12.3153,3.22121,5.08478,1.40267,2.91346,5.38518
54.4804,2.00538,3.99014,0.854739,12.1828,3.21419,4.52954,1.73241,3.20287,5.07723
57.5067,2.00614,3.98885,0.859073,12.3103,3.08669,5.2769,1.36216,2.76354,4.94024
60.533,2.00503,4.00499,0.858031,12.2447,3.19207,5.27654,1.7472,2.97047,4.64115
63.5594,2.00402,4.00764,0.860722,12.19,3.1814,5.29809,1.61661,2.66334,5.44774
66.5857,2.004,3.99811,0.856528,12.209,3.13031,5.21312,1.33329,3.10738,4.81707
69.6122,2.00724,4.00927,0.85957,12.2561,3.09396,4.73283,1.72911,3.46392,5.25679
72.6384,2.00617,3.98887,0.852264,12.3122,3.12648,4.56444,1.63605,2.64308,4.88387
75.6649,2.00748,4.00237,0.854325,12.2476,3.16893,4.52942,1.63863,3.36778,5.19649
78.6912,2.00533,3.99113,0.847959,12.2188,3.20234,5.3955,1.58911,3.13038,5.37995
81.7174,2.00296,3.99383,0.851567,12.2756,3.15698,5.49868,1.54679,3.30764,4.67305
84.7439,2.00489,4.00492,0.86189,12.2679,3.18468,5.2594,1.45809,3.23274,5.52211
87.7703,2.0063,4.00861,0.859985,12.2523,3.21857,5.02758,1.70326,2.57031,5.19197
90.7966,2.00292,3.98583,0.853457,12.2871,3.15738,4.69633,1.71892,2.51517,5.6162
93.8231,2.00624,3.99857,0.854788,12.3155,3.1952,5.27657,1.62338,3.00139,5.73986
96.8493,2.00407,4.00413,0.856316,12.2685,3.09027,5.21627,1.49088,3.2675,4.66478
99.8758,2.00616,3.99754,0.852912,12.319,3.11483,4.72586,1.29006,2.52653,4.6741
102.902,2.00516,3.98676,0.849521,12.3,3.11696,5.23312,1.59658,3.23912,4.86216
105.928,2.00351,3.98809,0.852514,12.211,3.1521,5.11196,1.32403,3.21687,5.39254
108.955,2.00478,4.00915,0.856718,12.3172,3.22153,5.18035,1.74436,2.74008,5.42019
111.981,2.0074,3.9933,0.859419,12.1937,3.12792,5.27093,1.59443,3.42048,4.95083
115.008,2.00748,4.01372,0.86044,12.2421,3.08925,4.52883,1.53673,2.78447,5.52159
118.034,2.00689,3.99191,0.851206,12.3132,3.11203,5.29278,1.28386,2.50259,5.73142
121.06,2.0037,4.00536,0.852349,12.3073,3.18717,4.95732,1.44348,2.75379,5.23911
124.087,2.00695,3.98633,0.852358,12.2321,3.12257,4.61617,1.50593,3.20486,4.96037
127.113,2.00267,4.00302,0.857245,12.2391,3.21423,4.50195,1.54916,3.45489,5.8112
130.139,2.00487,3.99467,0.853162,12.2454,3.22051,5.22833,1.39,3.46155,4.74187
133.166,2.00382,4.00547,0.853963,12.2546,3.18117,4.68766,1.5102,2.90956,4.73129
136.192,2.00557,4.00143,0.862317,12.1876,3.08349,5.1796,1.29472,3.39308,5.31123
139.218,2.00272,3.98562,0.854219,12.2954,3.17658,4.6308,1.649,3.35151,5.44502
142.245,2.0051,3.98591,0.855773,12.2253,3.13541,5.44044,1.70819,2.62349,4.72019
145.271,2.00453,4.00345,0.860093,12.2395,3.13721,4.62324,1.26719,2.68293,5.27135
148.297,2.00615,4.00693,0.859486,12.2826,3.12371,4.83531,1.64701,3.05,5.45004
151.324,2.00699,4.00435,0.859073,12.2191,3.22062,5.37987,1.38605,2.56272,5.77865
154.35,2.0038,4.01222,0.848548,12.1754,3.13922,4.80053,1.26758,3.19341,5.0125
157.377,2.00347,3.99922,0.862075,12.2927,3.17057,4.63783,1.52071,3.31081,5.57307
160.403,2.00317,4.00364,0.853544,12.2364,3.09944,4.68122,1.73757,2.95057,4.74383
163.429,2.00745,4.01365,0.856877,12.2726,3.19397,4.93604,1.58986,2.80169,5.45599
166.456,2.00268,3.98847,0.85929,12.2378,3.20486,4.60117,1.52304,3.14153,5.17668
169.482,2.00408,3.988,0.85284,12.2623,3.15508,5.23409,1.59053,3.49747,5.04283
172.508,2.00413,3.99473,0.854199,12.2306,3.12894,5.09666,1.62452,2.95785,4.96604
175.535,2.00496,3.99512,0.860249,12.2808,3.22022,5.42555,1.42596,2.57559,5.312
178.561,2.00302,4.01076,0.848697,12.2244,3.12316,4.71169,1.43074,2.82524,5.71208
181.587,2.00313,4.0006,0.851379,12.3227,3.1917,5.05876,1.27637,3.44809,4.76041
184.614,2.00453,4.01453,0.852132,12.2766,3.0789,4.75014,1.35318,3.03399,5.12381
187.64,2.00363,4.00821,0.861454,12.2522,3.21038,4.95701,1.56706,3.40691,5.34334
